Id,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,LotFrontagenan,MasVnrAreanan,GarageYrBltnan
1,12.247694320220994,0.5714285714285714,0.6666666666666666,0.4353777312816951,0.2781965720507751,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.6842105263157894,0.8,0.0,1.0,1.0,0.4999999999999999,0.33333333333333326,0.05952380952380952,0.08333333333333333,1.0,0.0,0.875,0.875,0.6666666666666666,0.44343891402714936,0.5,1.0,1.0,0.5,0.5,0.0,1.0,0.46662260409781886,0.0,0.0,0.0885478158205431,0.3068920676202861,1.0,1.0,1.0,1.0,0.2891561206227049,0.7742520398912058,0.0,0.7099763724935713,1.0,0.0,0.5,1.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.5,0.5,0.05952380952380952,1.0,0.5,0.5239520958083832,0.5,1.0,1.0,0.0,0.3588235294117647,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.09090909090909091,0.5,0.3333333333333333,0.75,0.0,0.0,0.0
3,12.31716669303576,0.5714285714285714,0.6666666666666666,0.4758393512768846,0.5107278427166806,0.0,1.0,1.0,0.6666666666666666,0.0,0.0,1.0,0.6842105263157894,0.8,0.0,1.0,1.0,0.4999999999999999,0.33333333333333326,0.08333333333333333,0.1,1.0,0.0,0.875,0.875,0.6666666666666666,0.36651583710407243,0.5,1.0,1.0,0.5,0.5,0.75,1.0,0.32121612690019824,0.0,0.0,0.256198347107438,0.3485045513654097,1.0,1.0,1.0,1.0,0.3525227624776335,0.785131459655485,0.0,0.7552004721074734,1.0,0.0,0.5,1.0,0.0,0.0,0.6666666666666666,0.3333333333333335,1.0,0.5,0.75,0.5,0.08333333333333333,1.0,0.5,0.6137724550898205,0.5,1.0,1.0,0.0,0.24705882352941178,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7272727272727273,0.5,0.3333333333333333,0.75,0.0,0.0,0.0
7,12.634603026569334,0.0,0.6666666666666666,0.5637029994310061,0.42182852642632174,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.894736842105263,0.8,0.0,1.0,0.75,0.6666666666666666,0.33333333333333326,0.03571428571428571,0.03333333333333333,1.0,0.0,0.875,0.875,1.0,0.4208144796380091,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.9048248512888301,0.0,0.0,0.1871310507674144,0.8465539661898569,1.0,1.0,1.0,1.0,0.8890266893792189,0.0,0.0,0.7001996573436022,1.0,0.0,0.5,0.0,0.0,0.0,0.6666666666666666,0.6666666666666665,1.0,0.5,1.0,0.5,0.03571428571428571,1.0,0.5,0.6556886227544911,0.5,1.0,1.0,0.6505102040816326,0.3352941176470588,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6363636363636364,0.25,0.3333333333333333,0.75,0.0,0.0,0.0
11,11.771436160121729,0.0,0.6666666666666666,0.5018338412296393,0.5071088013456411,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.21052631578947367,0.8,0.0,1.0,0.75,0.16666666666666663,0.33333333333333326,0.5119047619047619,0.7166666666666667,0.5,0.0,0.375,0.375,0.3333333333333333,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.5988103106411103,0.0,0.0,0.07910271546635182,0.42652795838751634,1.0,1.0,1.0,1.0,0.46026953816914595,0.0,0.0,0.19281757518056963,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5119047619047619,0.0,0.0,0.2784431137724552,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.09090909090909091,0.5,0.3333333333333333,0.75,0.0,0.0,0.0
14,12.540757571577291,0.0,0.6666666666666666,0.7371082374807738,0.4663501688766578,0.0,1.0,1.0,0.6666666666666666,0.0,0.0,1.0,0.6842105263157894,0.8,0.0,1.0,0.75,0.4999999999999999,0.33333333333333326,0.011904761904761904,0.0,1.0,0.0,0.875,0.875,1.0,0.6923076923076924,0.5,1.0,1.0,0.5,0.5,0.5,0.8,0.0,0.0,0.0,0.8819362455726092,0.7217165149544864,1.0,1.0,1.0,1.0,0.7786142532031457,0.0,0.0,0.5695399316559921,0.0,0.0,0.5,0.0,0.0,0.0,0.6666666666666666,0.6666666666666665,1.0,0.5,1.0,0.5,0.011904761904761904,1.0,1.0,0.9610778443113774,0.5,1.0,1.0,0.4081632653061224,0.19411764705882353,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6363636363636364,0.25,1.0,1.0,0.0,0.0,0.0
19,11.976659481202368,0.0,0.6666666666666666,0.4490687928107602,0.6705110429039136,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.47368421052631576,0.6000000000000001,0.0,1.0,0.75,0.16666666666666663,0.33333333333333326,0.047619047619047616,0.06666666666666667,1.0,0.0,0.875,0.875,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,0.42696629213483145,0.0,0.0,0.2762691853600944,0.4746423927178154,1.0,1.0,1.0,1.0,0.520677272713364,0.0,0.0,0.26430280182995514,1.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333335,1.0,0.0,0.5,0.0,0.047619047619047616,0.0,0.5,0.5658682634730539,0.5,1.0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4545454545454545,0.5,0.3333333333333333,0.75,0.0,0.0,0.0
20,11.842229212112828,0.0,0.6666666666666666,0.5018338412296393,0.18777213597826048,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.10526315789473684,0.8,0.0,1.0,0.75,0.16666666666666663,0.6666666666666667,0.6071428571428571,0.7333333333333333,0.5,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.6000000000000001,0.3331130204890945,0.0,0.0,0.3099173553719008,0.4193758127438232,1.0,0.0,1.0,1.0,0.6823523123011377,0.0,0.0,0.45562560073446523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333335,0.0,0.0,0.5,0.5,0.6071428571428571,0.0,0.0,0.14371257485029942,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.36363636363636365,0.75,0.0,0.5,0.0,0.0,0.0
28,12.631340380934517,0.0,0.6666666666666666,0.8035643474287175,0.5270293351213535,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.9473684210526315,0.8,0.0,1.0,0.75,0.6666666666666666,0.33333333333333326,0.03571428571428571,0.03333333333333333,1.0,0.0,0.875,0.875,1.0,0.4524886877828055,0.5,1.0,1.0,1.0,0.5,0.0,1.0,0.805023132848645,0.0,0.0,0.2868949232585596,0.858257477243173,1.0,1.0,1.0,1.0,0.8941993437673119,0.0,0.0,0.7063208663924385,1.0,0.0,0.5,0.0,0.0,0.0,0.6666666666666666,0.6666666666666665,1.0,0.5,1.0,0.5,0.023809523809523808,1.0,1.0,0.8592814371257487,0.5,1.0,1.0,0.0,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.36363636363636365,1.0,0.3333333333333333,0.75,0.0,0.0,0.0
33,12.100156419938624,0.0,0.6666666666666666,0.6759426863074451,0.4960804069189484,0.0,1.0,0.0,0.6666666666666666,0.0,0.6666666666666666,1.0,0.6842105263157894,0.8,0.0,1.0,0.75,0.6666666666666666,0.33333333333333326,0.011904761904761904,0.016666666666666666,1.0,0.0,0.875,0.875,0.3333333333333333,0.0,0.5,1.0,1.0,1.0,0.5,0.5,0.8,0.0,0.0,0.0,0.7284533648170012,0.552665799739922,1.0,1.0,1.0,1.0,0.6105850548545559,0.0,0.0,0.37069775658864046,0.0,0.0,0.5,0.0,0.0,0.0,0.6666666666666666,0.6666666666666665,1.0,0.0,0.5,0.5,0.011904761904761904,1.0,0.5,0.42814371257485034,0.5,1.0,1.0,0.0,0.1764705882352941,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.3333333333333333,0.75,0.0,0.0,0.0
37,11.884489021402711,0.0,0.6666666666666666,0.9233082380232398,0.481987488815669,0.0,1.0,0.0,0.6666666666666666,0.0,0.6666666666666666,1.0,0.6842105263157894,0.8,0.0,1.0,0.75,0.16666666666666663,0.33333333333333326,0.17857142857142855,0.23333333333333334,1.0,0.0,0.875,0.875,0.3333333333333333,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.8,0.0,0.0,0.0,0.6475796930342385,0.46358907672301697,1.0,1.0,1.0,1.0,0.5071626377433383,0.0,0.0,0.24830987060673948,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333335,1.0,0.0,0.5,0.5,0.16666666666666666,0.0,0.5,0.7095808383233535,0.5,1.0,1.0,0.9999999999999999,0.3764705882352941,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4545454545454545,0.75,0.3333333333333333,0.75,0.0,0.0,0.0
